Line count,Response time,current time,app id
90,3.7750000000000004,Konnichiwa from hello-edge-node-e1zri in edge-node,10
91,3.432,Konnichiwa from hello-edge-node-e1zri in edge-node,3
92,3.798,Konnichiwa from hello-edge-node-e1zri in edge-node,10
93,3.522,Konnichiwa from hello-edge-node-e1zri in edge-node,3
94,3.5239999999999996,Konnichiwa from hello-edge-node-e1zri in edge-node,3
95,4.473999999999999,Konnichiwa from hello-edge-node-e1zri in edge-node,10
96,3.7100000000000004,Konnichiwa from hello-edge-node-e1zri in edge-node,6
97,4.071,Konnichiwa from hello-edge-node-e1zri in edge-node,3
98,3.6229999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,10
99,3.29,Konnichiwa from hello-edge-node-e1zri in edge-node,3
100,4.218,Konnichiwa from hello-edge-node-e1zri in edge-node,3
101,4.14,Konnichiwa from hello-edge-node-e1zri in edge-node,10
102,3.437,Konnichiwa from hello-edge-node-e1zri in edge-node,3
103,3.362,Konnichiwa from hello-edge-node-e1zri in edge-node,6
104,3.66,Konnichiwa from hello-edge-node-e1zri in edge-node,10
105,3.508,Konnichiwa from hello-edge-node-e1zri in edge-node,3
106,3.412,Konnichiwa from hello-edge-node-e1zri in edge-node,6
107,3.411,Konnichiwa from hello-edge-node-e1zri in edge-node,3
108,3.496,Konnichiwa from hello-edge-node-e1zri in edge-node,10
109,3.4520000000000004,Konnichiwa from hello-edge-node-e1zri in edge-node,6
110,3.229,Konnichiwa from hello-edge-node-e1zri in edge-node,3
111,3.332,Konnichiwa from hello-edge-node-e1zri in edge-node,10
112,3.283,Konnichiwa from hello-edge-node-e1zri in edge-node,6
113,3.826,Konnichiwa from hello-edge-node-e1zri in edge-node,3
114,3.7720000000000002,Konnichiwa from hello-edge-node-e1zri in edge-node,6
115,3.975,Konnichiwa from hello-edge-node-e1zri in edge-node,10
116,3.858,Konnichiwa from hello-edge-node-e1zri in edge-node,3
117,3.678,Konnichiwa from hello-edge-node-e1zri in edge-node,6
118,3.326,Konnichiwa from hello-edge-node-e1zri in edge-node,10
119,3.363,Konnichiwa from hello-edge-node-e1zri in edge-node,3
120,3.3409999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
121,3.5500000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
122,3.406,Konnichiwa from hello-edge-node-e1zri in edge-node,10
123,3.69,Konnichiwa from hello-edge-node-e1zri in edge-node,3
124,3.536,Konnichiwa from hello-edge-node-e1zri in edge-node,3
125,3.6189999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,10
126,3.8739999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,3
127,4.699,Konnichiwa from hello-edge-node-e1zri in edge-node,3
128,4.084,Konnichiwa from hello-edge-node-e1zri in edge-node,6
129,3.369,Konnichiwa from hello-edge-node-e1zri in edge-node,10
130,3.794,Konnichiwa from hello-edge-node-e1zri in edge-node,3
131,3.846,Konnichiwa from hello-edge-node-e1zri in edge-node,6
132,3.376,Konnichiwa from hello-edge-node-e1zri in edge-node,6
133,3.558,Konnichiwa from hello-edge-node-e1zri in edge-node,10
134,3.264,Konnichiwa from hello-edge-node-e1zri in edge-node,6
135,3.691,Konnichiwa from hello-edge-node-e1zri in edge-node,3
136,3.4810000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,6
137,3.479,Konnichiwa from hello-edge-node-e1zri in edge-node,6
138,3.504,Konnichiwa from hello-edge-node-e1zri in edge-node,10
139,3.455,Konnichiwa from hello-edge-node-e1zri in edge-node,6
140,3.9639999999999995,Konnichiwa from hello-edge-node-e1zri in edge-node,3
141,3.144,Konnichiwa from hello-edge-node-e1zri in edge-node,6
142,3.928,Konnichiwa from hello-edge-node-e1zri in edge-node,10
143,3.601,Konnichiwa from hello-edge-node-e1zri in edge-node,6
144,3.644,Konnichiwa from hello-edge-node-e1zri in edge-node,6
145,3.529,Konnichiwa from hello-edge-node-e1zri in edge-node,6
146,3.469,Konnichiwa from hello-edge-node-e1zri in edge-node,10
147,3.4,Konnichiwa from hello-edge-node-e1zri in edge-node,3
148,3.686,Konnichiwa from hello-edge-node-e1zri in edge-node,6
149,4.061,Konnichiwa from hello-edge-node-e1zri in edge-node,10
150,3.375,Konnichiwa from hello-edge-node-e1zri in edge-node,3
151,3.355,Konnichiwa from hello-edge-node-e1zri in edge-node,6
152,3.847,Konnichiwa from hello-edge-node-e1zri in edge-node,10
153,3.803,Konnichiwa from hello-edge-node-e1zri in edge-node,3
154,3.8449999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,6
155,3.355,Konnichiwa from hello-edge-node-e1zri in edge-node,6
156,3.347,Konnichiwa from hello-edge-node-e1zri in edge-node,10
157,3.8600000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,3
158,3.3649999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,6
159,3.377,Konnichiwa from hello-edge-node-e1zri in edge-node,10
160,3.261,Konnichiwa from hello-edge-node-e1zri in edge-node,3
161,3.399,Konnichiwa from hello-edge-node-e1zri in edge-node,6
162,3.505,Konnichiwa from hello-edge-node-e1zri in edge-node,6
163,2.7729999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,10
164,4.024,Konnichiwa from hello-edge-node-e1zri in edge-node,3
165,3.527,Konnichiwa from hello-edge-node-e1zri in edge-node,6
166,3.5100000000000002,Konnichiwa from hello-edge-node-e1zri in edge-node,10
167,3.523,Konnichiwa from hello-edge-node-e1zri in edge-node,6
168,3.42,Konnichiwa from hello-edge-node-e1zri in edge-node,3
169,3.354,Konnichiwa from hello-edge-node-e1zri in edge-node,6
170,4.335999999999999,Konnichiwa from hello-edge-node-e1zri in edge-node,10
171,3.3939999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
172,3.849,Konnichiwa from hello-edge-node-e1zri in edge-node,10
173,3.0469999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
174,3.281,Konnichiwa from hello-edge-node-e1zri in edge-node,3
175,4.163,Konnichiwa from hello-edge-node-e1zri in edge-node,10
